#{"t_start": 1706716006.7889109, "env_id": "None"}
r,l,t
-7100.002203,1000,178.900473
-6180.002216,1000,180.182285
-6240.002264,1000,180.675274
-7140.002187,1000,181.940393
-6560.002179,1000,182.426067
-6140.002218,1000,183.689389
-7520.002488,1000,184.175749
-7140.002324,1000,185.432449
-6980.002273,1000,185.919702
-6760.002337,1000,186.405951
-7230.002331,1000,187.66824
-6860.002272,1000,188.155483
-7180.002221,1000,189.41808
-6780.002278,1000,189.906667
-6140.00219,1000,191.183675
-5600.002193,1000,191.670627
-6190.002178,1000,192.941133
-6400.00217,1000,193.435246
-5720.002166,1000,194.72336
-6160.002283,1000,195.211212
-6780.002218,1000,196.47767
-6360.002248,1000,196.963441
-7140.002207,1000,198.232394
-6400.002176,1000,198.719495
-6850.002231,1000,199.993343
-6590.002197,1000,200.478318
-5550.002275,1000,201.729243
-6350.0022,1000,202.231242
-6380.002202,1000,203.527661
-6650.002229,1000,204.013855
-6880.002212,1000,205.280191
-6570.002186,1000,205.767222
-6300.002322,1000,207.03212
-5840.00221,1000,207.516641
-6900.002162,1000,208.776986
-6480.002192,1000,209.264217
-6280.002193,1000,210.533325
-6860.002198,1000,211.017117
-6820.002245,1000,212.286583
-6710.002179,1000,212.77299
-6380.002197,1000,214.058286
-5960.002187,1000,214.55209
-6720.002236,1000,215.824042
-5480.002204,1000,216.315022
-6500.002152,1000,217.579233
-6180.002185,1000,218.065539
-6240.002203,1000,219.330304
-6460.002244,1000,219.822669
-6040.002176,1000,221.083666
-5440.002172,1000,221.571445
-6140.002255,1000,222.06366
-6240.002193,1000,223.331168
-6240.002172,1000,223.815199
-6260.002224,1000,225.092975
-5880.002305,1000,225.58052
-5260.002321,1000,226.838404
-6330.002192,1000,227.325928
-7190.002237,1000,228.58196
-6220.002179,1000,229.072649
-6020.002189,1000,230.366154
-6300.002187,1000,230.848984
-6640.002184,1000,232.120457
-6320.002173,1000,232.610147
-6340.002297,1000,233.876489
-7160.002158,1000,234.366841
-6280.002204,1000,235.627249
-6640.002178,1000,236.117378
-6500.002178,1000,237.390385
-6100.002186,1000,237.880213
-6440.002256,1000,239.144889
-6620.00221,1000,239.638367
-6520.002157,1000,240.949476
-7180.002158,1000,241.43143
-6580.00215,1000,242.705943
-6580.002184,1000,243.189772
-7020.002239,1000,244.454847
-6620.00219,1000,244.943439
-6320.002251,1000,246.206374
-6600.002188,1000,246.692842
-6020.00225,1000,247.957336
-5800.002174,1000,248.443423
-6100.002171,1000,249.714283
-6460.00217,1000,250.204188
-6590.002181,1000,251.471556
-6260.002191,1000,251.962673
-6750.002164,1000,253.233335
-6500.002188,1000,253.737217
-6340.002224,1000,255.037664
-6000.002206,1000,255.526624
-6580.002177,1000,256.783653
-7190.002183,1000,257.267943
-6440.002189,1000,258.529094
-6480.002161,1000,259.018695
-6080.002291,1000,259.511586
-6080.00221,1000,260.794604
-6090.002184,1000,261.281284
-6300.002226,1000,262.558017
-6040.00217,1000,263.044212
-6260.002173,1000,264.34072
-7000.002166,1000,264.828497
-6600.002173,1000,266.091199
-6310.002204,1000,266.579723
-6170.002169,1000,267.846183
-6230.0022,1000,268.333881
-6640.002268,1000,269.598883
-6260.002162,1000,270.090669
-6840.002228,1000,271.370632
-6040.002241,1000,271.858921
-6160.002174,1000,273.135581
-6320.00218,1000,273.61915
-6180.002184,1000,274.870725
-6880.002173,1000,275.353427
-6290.002187,1000,276.618596
-5980.00219,1000,277.105093
-6160.002172,1000,278.365809
-5880.002189,1000,278.852168
-6640.002157,1000,280.137213
-6420.00215,1000,280.645704
-6940.002234,1000,281.950351
-6560.00219,1000,282.453733
-6520.002209,1000,283.763903
-6950.002244,1000,284.266181
-6160.002259,1000,285.53569
-6340.002205,1000,286.029386
-6240.00216,1000,287.300046
-6280.002173,1000,287.789153
-7080.0022,1000,289.051212
-5960.002174,1000,289.539276
-5860.002198,1000,290.81456
-6720.002181,1000,291.299465
-6420.002272,1000,292.585918
-6760.002171,1000,293.076914
