#{"t_start": 1706719899.2265441, "env_id": "None"}
r,l,t,qos_breach
-6000.002179,1000,145.751137,300
-6640.00218,1000,146.974098,332
-6060.002164,1000,147.461928,303
-6200.002176,1000,147.944684,310
-6460.002201,1000,149.161321,323
-6060.002176,1000,149.646206,303
-6310.002176,1000,150.870876,308
-6340.002178,1000,151.373575,317
-5860.002259,1000,152.64722,293
-5900.002183,1000,153.134318,295
-5980.002158,1000,154.393646,299
-5600.002174,1000,154.887117,280
-6320.002202,1000,156.152746,316
-6200.002155,1000,156.645947,295
-6600.002185,1000,157.891226,330
-6380.00223,1000,158.384257,319
-7110.00224,1000,159.633768,343
-6200.002181,1000,160.113062,310
-6360.002186,1000,161.33433,318
-6410.002214,1000,161.823969,308
-6560.00219,1000,163.04771,328
-6480.002191,1000,163.534194,309
-7480.002131,1000,164.758203,374
-5840.002292,1000,165.241098,287
-6600.002247,1000,166.467241,325
-6160.002195,1000,166.957874,303
-6440.002201,1000,168.176265,322
-6240.002189,1000,168.658579,312
-6700.002135,1000,169.907505,335
-6120.002165,1000,170.396019,306
-6140.002187,1000,171.649939,307
-6380.002154,1000,172.139008,319
-6280.002146,1000,173.364447,299
-6500.002258,1000,173.852763,320
-6370.002238,1000,175.09625,306
-5920.002217,1000,175.585698,296
-6460.002148,1000,176.822814,323
-6280.002159,1000,177.317187,309
-5560.002184,1000,178.551112,278
-6990.002158,1000,179.040238,342
-7020.002138,1000,180.307987,351
-6020.002182,1000,180.796834,301
-6600.002164,1000,182.049548,330
-6670.002142,1000,182.538274,316
-5960.002184,1000,183.76911,298
-6690.00222,1000,184.258307,322
-6450.002182,1000,184.746163,305
-5960.00217,1000,185.967669,298
-6780.002163,1000,186.456977,339
-6360.002219,1000,187.675531,318
-6850.002263,1000,188.163268,335
-6120.002179,1000,189.394799,306
-6400.00217,1000,189.880271,320
-6480.002216,1000,191.126855,324
-6360.002216,1000,191.617132,313
-6620.002171,1000,192.852902,331
-6380.002178,1000,193.338421,319
-6200.002197,1000,194.752465,310
-6500.002217,1000,195.235319,325
-6340.002176,1000,196.467742,317
-6660.002147,1000,196.953624,333
-6900.002207,1000,198.188182,345
-5740.002195,1000,198.676629,287
-6600.002167,1000,199.894246,330
-6400.002165,1000,200.381771,320
-5880.002218,1000,201.648042,294
-5720.002199,1000,202.148872,286
-6480.002193,1000,203.378256,324
-6640.00218,1000,203.869251,332
-6000.002145,1000,205.091328,300
-6420.002218,1000,205.579405,321
-6120.002185,1000,206.804397,306
-6080.002227,1000,207.291391,304
-6180.00224,1000,208.528505,309
-6370.002263,1000,209.016876,306
-5720.00222,1000,210.251691,286
-6520.002306,1000,210.736132,326
-6580.002174,1000,212.018114,329
-6330.002246,1000,212.503638,309
-6640.002253,1000,213.736369,332
-6370.002179,1000,214.21948,311
-6800.002151,1000,215.469543,340
-6420.002152,1000,215.953919,321
-7230.002147,1000,217.176325,354
-5860.002163,1000,217.66203,293
-7000.002177,1000,218.906069,350
-6020.002192,1000,219.398427,301
-6540.002182,1000,219.884093,322
-6240.002156,1000,221.119081,312
-6320.002275,1000,221.608517,316
-6680.00215,1000,222.848157,334
-6560.002164,1000,223.338204,328
-6160.002232,1000,224.593488,308
-6220.002244,1000,225.079942,311
-6100.002166,1000,226.31646,305
-6080.002184,1000,226.801243,304
-5920.002247,1000,228.028492,296
-6060.002175,1000,228.514191,303
-6340.002142,1000,229.749964,317
-6080.002178,1000,230.235305,304
-6660.002175,1000,231.515104,333
-6760.002165,1000,232.006026,338
-6210.002161,1000,233.225641,298
-6450.002193,1000,233.713544,315
-6440.002166,1000,234.960963,322
-5980.002187,1000,235.443782,299
-6640.002209,1000,236.681156,332
-6290.002165,1000,237.169093,302
-6280.002149,1000,238.397187,314
-6460.002215,1000,238.884178,323
-6340.00218,1000,240.110144,317
-6260.002166,1000,240.594848,303
-7000.002204,1000,241.81976,350
-6380.002151,1000,242.306964,319
-6140.002162,1000,243.523317,307
-6160.002196,1000,244.007295,308
-6320.00216,1000,245.230321,311
-5980.00221,1000,245.720626,294
-6580.002191,1000,246.973636,314
-5840.002217,1000,247.460155,292
-6580.002155,1000,248.682362,324
-7220.002175,1000,249.16817,361
-6080.002169,1000,250.401742,304
-6560.002173,1000,250.891067,328
-6780.002213,1000,252.146323,339
-5820.002249,1000,252.633764,286
-6880.002203,1000,253.863353,319
-6520.002159,1000,254.350417,306
-6840.002145,1000,255.613958,322
-6260.002164,1000,256.115036,313
-7130.002162,1000,256.60557,349
-5860.002172,1000,257.857746,293
-6060.002163,1000,258.337085,303
-5860.002235,1000,259.572757,293
-5920.002156,1000,260.061692,296
-5900.002206,1000,261.315258,295
-6180.002207,1000,261.822963,309
-6910.002188,1000,263.044491,338
