#{"t_start": 1715954647.594678, "env_id": "None"}
r,l,t,qos_breach,power_per_mbit,latency_error,allocation_error,total_power,total_traffic,reward
-117.062186,1000,187.93754,0,0.027758929609051984,0,0,27.014539808353767,973.1837714500534,-0.027758929609051984
-142.05646,1000,189.553086,0,0.02782555772598358,0,0,27.079381210473873,973.1837714500534,-0.02782555772598358
-134.50561,1000,197.015882,0,0.027888455574474752,0,0,27.1405923758846,973.1837714500533,-0.027888455574474752
-137.011038,1000,198.632475,0,0.027718409654586756,0,0,26.97510644624831,973.1837714500534,-0.027718409654586756
-127.066455,1000,205.968455,0,0.027647893533482796,0,0,26.90648130156433,973.1837714500534,-0.027647893533482796
-142.01363,1000,207.655626,0,0.027677870911839163,0,0,26.935654799691363,973.1837714500533,-0.027677870911839163
-134.56387,1000,215.135642,0,0.02798898851708756,0,0,27.23842940413151,973.1837714500534,-0.02798898851708756
-124.597249,1000,216.759449,0,0.02811373900793603,0,0,27.359834557305664,973.1837714500533,-0.02811373900793603
-119.592111,1000,224.041337,0,0.02768249448608873,0,0,26.94015438711714,973.1837714500534,-0.02768249448608873
-127.122176,1000,225.667076,0,0.028259352830812975,0,0,27.50154356662831,973.1837714500533,-0.028259352830812975
-137.112884,1000,233.357487,0,0.028288495574941726,0,0,27.529904812269937,973.1837714500534,-0.028288495574941726
-124.556664,1000,234.984863,0,0.02812988984830233,0,0,27.37555229304543,973.1837714500533,-0.02812988984830233
-149.610607,1000,242.331745,0,0.028128936878786752,0,0,27.37462487857818,973.1837714500533,-0.028128936878786752
-122.129228,1000,243.988715,0,0.028025149340387617,0,0,27.273620530529396,973.1837714500533,-0.028025149340387617
-147.131066,1000,251.4898,0,0.027816733185009063,0,0,27.070793310406977,973.1837714500534,-0.027816733185009063
-142.019171,1000,253.12375,0,0.02767901543397497,0,0,26.936768630059998,973.1837714500534,-0.02767901543397497
-134.57442,1000,260.496968,0,0.02792188228957814,0,0,27.173122712556108,973.1837714500534,-0.02792188228957814
-142.041894,1000,262.117811,0,0.02816168142841481,0,0,27.406491342879654,973.1837714500534,-0.02816168142841481
-141.954106,1000,269.518964,0,0.0282374046754431,0,0,27.48018397800909,973.1837714500534,-0.0282374046754431
-144.597028,1000,271.14106,0,0.028043059324632157,0,0,27.291050236543107,973.1837714500533,-0.028043059324632157
-129.579127,1000,278.555651,0,0.028109202076139286,0,0,27.355419288908898,973.1837714500533,-0.028109202076139286
-137.08683,1000,280.190046,0,0.02797188062268459,0,0,27.221780278934855,973.1837714500533,-0.02797188062268459
-149.560743,1000,287.736466,0,0.02813411704152389,0,0,27.379666128887433,973.1837714500533,-0.02813411704152389
-134.528746,1000,289.37114,0,0.02815110201313104,0,0,27.396195627614055,973.1837714500534,-0.02815110201313104
-134.566712,1000,296.794128,0,0.02780204413382202,0,0,27.056498164173746,973.1837714500533,-0.02780204413382202
-144.587357,1000,298.418244,0,0.02816008655148584,0,0,27.40493923453492,973.1837714500534,-0.02816008655148584
-127.113335,1000,306.123542,0,0.028215087106189782,0,0,27.458464881793542,973.1837714500533,-0.028215087106189782
-129.629057,1000,307.764368,0,0.02801577395119738,0,0,27.264496553918427,973.1837714500533,-0.02801577395119738
-122.086007,1000,315.091767,0,0.0277717891608769,0,0,27.027054515497895,973.1837714500534,-0.0277717891608769
-134.553251,1000,316.731692,0,0.028001620833358096,0,0,27.25072296932182,973.1837714500534,-0.028001620833358096
-139.574154,1000,324.435237,0,0.028086233773182763,0,0,27.333066909213862,973.1837714500533,-0.028086233773182763
