#{"t_start": 1706720603.3647332, "env_id": "None"}
r,l,t,qos_breach
-6630.002196,1000,51.881368,324
-5900.002167,1000,53.213841,295
-6980.002183,1000,53.711455,344
-6410.002189,1000,54.901021,313
-6500.00219,1000,55.395129,325
-7080.00221,1000,56.631278,354
-5380.002181,1000,57.133993,269
-6790.00215,1000,58.488568,332
-5840.002233,1000,58.987479,292
-6700.00217,1000,60.223943,335
-6420.00217,1000,60.705158,321
-6420.002218,1000,61.870781,321
-6320.002271,1000,62.346153,316
-6500.002199,1000,63.722702,325
-5860.00216,1000,64.203935,293
-5920.002198,1000,65.40352,291
-6460.002198,1000,65.897343,323
-6780.002172,1000,67.195362,339
-6100.00216,1000,67.670988,305
-6140.002177,1000,68.861913,307
-6120.002159,1000,69.340121,306
-6080.002223,1000,70.529435,304
-6560.002177,1000,71.00751,328
-5980.002176,1000,72.259575,299
-5960.002158,1000,72.757139,298
-6360.00218,1000,73.953242,318
-6020.002213,1000,74.426668,301
-6200.00221,1000,74.902578,310
-6000.002208,1000,76.109118,300
-6500.002233,1000,76.5812,325
-6560.002205,1000,77.782178,328
-6520.002179,1000,78.260476,326
-6640.002244,1000,79.450767,332
-7480.002189,1000,79.931862,374
-6120.002281,1000,81.118637,306
-6180.002173,1000,81.595034,309
-5860.002157,1000,82.826795,293
-6040.002226,1000,83.302454,302
-7060.002227,1000,84.492086,353
-5820.002198,1000,84.969408,291
-6060.002193,1000,86.15985,303
-6380.002297,1000,86.634537,319
-6240.002188,1000,87.824483,307
-6520.002223,1000,88.294907,326
-6680.002177,1000,89.484848,334
-6100.002188,1000,89.95717,305
-6340.002193,1000,91.140795,312
-6400.002151,1000,91.615352,320
-6060.002166,1000,92.830358,303
-5980.002174,1000,93.306024,299
-6240.002194,1000,94.498227,312
-6560.002211,1000,94.969858,328
-6380.002176,1000,96.183581,319
-6820.002161,1000,96.662757,341
-6720.002149,1000,98.000759,336
-6320.002201,1000,98.465964,316
-6100.002218,1000,99.699578,305
-6500.00217,1000,100.172964,325
-6060.002207,1000,101.522378,303
-6160.002272,1000,102.126036,308
-6200.002252,1000,103.527607,310
-6160.002196,1000,104.043031,308
-6540.002173,1000,105.387718,327
-6380.002208,1000,105.895749,319
-6440.002184,1000,107.25113,322
-6180.002181,1000,107.782421,309
-6280.002202,1000,108.97734,314
-6340.00217,1000,109.45284,317
-6240.002267,1000,110.688666,312
-5940.002185,1000,111.201667,297
-6160.002207,1000,111.709411,308
-5640.002195,1000,112.993831,277
-6140.002165,1000,113.47913,307
-6320.002187,1000,114.693586,316
-6440.002148,1000,115.174538,322
-6540.002232,1000,116.531206,327
-6900.002273,1000,117.008799,345
-6040.002196,1000,118.202586,302
-6160.002176,1000,118.703165,308
-5400.002212,1000,119.955908,270
-6020.002215,1000,120.4318,301
-5920.002262,1000,121.675673,296
-6340.00215,1000,122.159529,317
-6380.002158,1000,123.439353,319
-6200.002187,1000,123.921542,310
